month,state,totals
2017-07-01,Virgin Islands,151
2017-07-01,Virginia,36183
2017-07-01,Washington,38369
2017-07-01,West Virginia,13970
2017-07-01,Wisconsin,32846
2017-07-01,Wyoming,3398
2017-06-01,Alabama,35687
2017-06-01,Alaska,6353
2017-06-01,Arizona,28359
2017-06-01,Arkansas,16614
2017-06-01,California,130187
2017-06-01,Colorado,36459
2017-06-01,Connecticut,16504
2017-06-01,Delaware,3634
2017-06-01,District of Columbia,74
2017-06-01,Florida,100508
2017-06-01,Georgia,39874
2017-06-01,Guam,156
2017-06-01,Hawaii,1083
2017-06-01,Idaho,20241
2017-06-01,Illinois,113889
2017-06-01,Indiana,49689
2017-06-01,Iowa,8352
2017-06-01,Kansas,13485
2017-06-01,Kentucky,392002
2017-06-01,Louisiana,23497
2017-06-01,Maine,6474
2017-06-01,Mariana Islands,12
2017-06-01,Maryland,10945
2017-06-01,Massachusetts,15841
2017-06-01,Michigan,37088
2017-06-01,Minnesota,44775
2017-06-01,Mississippi,17154
2017-06-01,Missouri,36752
2017-06-01,Montana,9901
2017-06-01,Nebraska,4265
2017-06-01,Nevada,10602
2017-06-01,New Hampshire,9184
2017-06-01,New Jersey,7790
2017-06-01,New Mexico,11398
2017-06-01,New York,27677
2017-06-01,North Carolina,39169
2017-06-01,North Dakota,4939
2017-06-01,Ohio,53164
2017-06-01,Oklahoma,24632
2017-06-01,Oregon,27103
2017-06-01,Pennsylvania,76201
2017-06-01,Puerto Rico,1631
2017-06-01,Rhode Island,1899
2017-06-01,South Carolina,32995
2017-06-01,South Dakota,6704
2017-06-01,Tennessee,52959
2017-06-01,Texas,118091
2017-06-01,Utah,22138
2017-06-01,Vermont,2382
2017-06-01,Virgin Islands,153
2017-06-01,Virginia,36838
2017-06-01,Washington,46023
2017-06-01,West Virginia,14498
2017-06-01,Wisconsin,36267
2017-06-01,Wyoming,3975
2017-05-01,Alabama,33331
2017-05-01,Alaska,6442
2017-05-01,Arizona,28734
2017-05-01,Arkansas,16749
2017-05-01,California,129307
2017-05-01,Colorado,36008
2017-05-01,Connecticut,16149
2017-05-01,Delaware,4012
2017-05-01,District of Columbia,82
2017-05-01,Florida,96556
2017-05-01,Georgia,36905
2017-05-01,Guam,157
2017-05-01,Hawaii,1117
2017-05-01,Idaho,13065
2017-05-01,Illinois,121746
2017-05-01,Indiana,54347
2017-05-01,Iowa,10232
2017-05-01,Kansas,12337
2017-05-01,Kentucky,391740
2017-05-01,Louisiana,21311
2017-05-01,Maine,7200
2017-05-01,Mariana Islands,12
2017-05-01,Maryland,11660
2017-05-01,Massachusetts,16651
2017-05-01,Michigan,38548
2017-05-01,Minnesota,55570
2017-05-01,Mississippi,15680
2017-05-01,Missouri,34965
2017-05-01,Montana,9418
2017-05-01,Nebraska,5025
2017-05-01,Nevada,9803
2017-05-01,New Hampshire,8868
2017-05-01,New Jersey,8694
2017-05-01,New Mexico,11291
2017-05-01,New York,31294
2017-05-01,North Carolina,39413
2017-05-01,North Dakota,4654
2017-05-01,Ohio,56229
2017-05-01,Oklahoma,22693
2017-05-01,Oregon,26466
2017-05-01,Pennsylvania,79725
2017-05-01,Puerto Rico,1600
2017-05-01,Rhode Island,1883
2017-05-01,South Carolina,31248
2017-05-01,South Dakota,7004
2017-05-01,Tennessee,57763
2017-05-01,Texas,109732
2017-05-01,Utah,23844
2017-05-01,Vermont,2577
2017-05-01,Virgin Islands,79
2017-05-01,Virginia,36007
2017-05-01,Washington,45816
2017-05-01,West Virginia,15085
2017-05-01,Wisconsin,37888
2017-05-01,Wyoming,4128
2017-04-01,Alabama,32652
2017-04-01,Alaska,6983
2017-04-01,Arizona,32052
2017-04-01,Arkansas,16452
2017-04-01,California,132190
2017-04-01,Colorado,39989
2017-04-01,Connecticut,16406
2017-04-01,Delaware,4296
2017-04-01,District of Columbia,104
2017-04-01,Florida,103641
2017-04-01,Georgia,37829
2017-04-01,Guam,147
2017-04-01,Hawaii,888
2017-04-01,Idaho,15234
2017-04-01,Illinois,135507
2017-04-01,Indiana,63298
2017-04-01,Iowa,13017
2017-04-01,Kansas,15139
2017-04-01,Kentucky,392685
2017-04-01,Louisiana,22065
2017-04-01,Maine,8115
2017-04-01,Mariana Islands,13
2017-04-01,Maryland,13182
2017-04-01,Massachusetts,17866
2017-04-01,Michigan,41939
2017-04-01,Minnesota,71484
2017-04-01,Mississippi,16803
2017-04-01,Missouri,40019
2017-04-01,Montana,10293
2017-04-01,Nebraska,5745
2017-04-01,Nevada,10588
2017-04-01,New Hampshire,10792
2017-04-01,New Jersey,9119
2017-04-01,New Mexico,12748
2017-04-01,New York,33113
2017-04-01,North Carolina,39992
2017-04-01,North Dakota,6504
2017-04-01,Ohio,66800
2017-04-01,Oklahoma,27478
2017-04-01,Oregon,27936
2017-04-01,Pennsylvania,85908
2017-04-01,Puerto Rico,1387
2017-04-01,Rhode Island,2133
2017-04-01,South Carolina,30218
2017-04-01,South Dakota,7857
2017-04-01,Tennessee,57852
2017-04-01,Texas,109961
2017-04-01,Utah,23177
2017-04-01,Vermont,3818
2017-04-01,Virgin Islands,111
2017-04-01,Virginia,48631
2017-04-01,Washington,47895
2017-04-01,West Virginia,16988
2017-04-01,Wisconsin,45872
2017-04-01,Wyoming,4269
2017-03-01,Alabama,48769
2017-03-01,Alaska,6971
2017-03-01,Arizona,38170
2017-03-01,Arkansas,23290
2017-03-01,California,146592
2017-03-01,Colorado,45645
2017-03-01,Connecticut,18787
2017-03-01,Delaware,5527
2017-03-01,District of Columbia,111
2017-03-01,Florida,122716
2017-03-01,Georgia,57235
2017-03-01,Guam,136
2017-03-01,Hawaii,1090
2017-03-01,Idaho,16675
2017-03-01,Illinois,163728
2017-03-01,Indiana,79624
2017-03-01,Iowa,20026
2017-03-01,Kansas,17891
2017-03-01,Kentucky,397959
